연번,계약번호,구분,계약명,계약일자,계약시작일,계약종료일,계약금액,거래처,계약방법,수의계약사유,구매요구부서,출처파일,시트명
652,,물품구매,터보펌프 설계 SW 유지 보수 및 업그레이드,2018-10-18,2018-10-15,2018-11-14,28050000.0,김화기술(주),수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
653,,물품구매,연구원 공용시설 무선랜 구축,2018-10-12,2018-10-12,2019-01-11,128093000.0,(주)새암정보기술,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
654,,일반용역,위성정보활용자료 관리 시스템 개발,2018-10-15,2018-10-15,2018-12-31,31000000.0,(주)영민시스템,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
655,,제작,연구원 자료실 구축용 모빌랙 제작/설치,2018-10-15,2018-10-15,2018-12-14,42861920.0,주식회사 엘퍼스,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
656,,일반용역,한국형발사체 1단 추진제탱크 DM1 EM 내압시험용 변형률게이지 장착,2018-10-17,2018-10-17,2019-03-29,80000000.0,더블유에스엔지니어링(주),수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
657,,제작,안테나유지보수 및 운영관리용 RF 및 Data 케이블,2018-10-31,2018-10-31,2018-12-15,24068020.0,주식회사 유노미아,수의소액(나라장터),,,경영공시+9_구매계약현황(2018년).xlsx,결과창
658,,제작,한국형발사체 1단 QM용 벨로우즈밸브 및 체크밸브류 제작,2018-10-16,2018-10-16,2019-08-31,165500000.0,하이록코리아(주),수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
659,,기술용역,다목적실용위성 7호 위성영상 형식 표준화 방안 연구,2018-10-16,2018-10-16,2019-04-30,57300000.0,주식회사에스아이아이에스,수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
660,,기술용역,국산 탄소섬유 일방향 프리프레그 2종 특성평가 용역,2018-10-17,2018-10-17,2018-12-17,44000000.0,(주)효성,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
661,,기술용역,"다시기, 다중위성 광학영상분석 효율화를 위한 정규화 데이터 생성 용역",2018-10-17,2018-10-17,2018-12-26,41990000.0,(주)하이퍼센싱,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
662,,일반용역,다목적실용위성 위성영상 직수신 수출 연구,2018-10-17,2018-10-17,2018-12-17,29850000.0,주식회사에스아이아이에스,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
663,,물품구매,고주파 신호분석 도구 구매,2018-10-18,2018-10-19,2018-12-07,21312500.0,키사이트테크놀로지스코리아,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
664,,일반용역,우주종합시험센터 청정실 운영용 파티클카운터 검교정,2018-10-18,2018-10-18,2018-11-17,21488400.0,(주)화인시스텍,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
665,,기술용역,2018년 한반도 모자이크영상 제작 용역,2018-10-16,2018-10-16,2019-04-19,378661500.0,(주)포도,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
666,,물품구매,엔진 저주파 가속도 측정용 센서 및 케이블 구매,2018-10-17,2018-10-17,2018-12-31,74910000.0,지엔브이,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
667,,제작,위성운영동 폐쇄형배전반 변압기 구매/설치,2018-10-18,2018-10-18,2019-01-17,25823000.0,(주) 광영전력,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
668,,보험,시험발사체 제3자 손해배상책임보험,2018-10-01,2018-10-01,2019-10-01,90000000.0,삼성화재해상보험(주),제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
669,,제작,미래비행체용 전기추진식 표준 소형로터 및 프롭시스템 시험을 위한 꼬리로터 시험설비 개조,2018-10-19,2018-10-22,2019-11-30,659000000.0,(주)스마텍,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
670,,제작,T-1000급 EAV-3 3호기 동체/미익/프로펠러 제작,2018-10-23,2018-10-23,2018-12-21,239700000.0,성우엔지니어링,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
671,,제작,팔라우 해외추적소 건설공사 지급자재(컨테이너 쉘터) 제작/설치,2018-10-23,2018-10-23,2019-06-22,385300810.0,삼창씨앤에스(주),제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
672,,물품구매,정지궤도복합위성 2A 전처리 시험용 서버 구매,2018-10-22,2018-10-24,2018-11-26,115995000.0,(주)라온정보,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
673,,제작,한국형발사체 시스템용 개폐밸브 4종 제작,2018-10-25,2018-10-24,2019-06-28,555000000.0,한화에어로스페이스(주),수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
674,,물품구매,차세대중형위성 1호 영상 데이터수신 및 처리용 위상영상 수신카드 구매,2018-10-24,2018-10-24,2018-11-26,55000000.0,(주)쎄트렉아이,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
675,,제작,다목적실용위성 7호 전자통합시험용 브레이크아웃박스 및 케이블 제작,2018-10-24,2018-10-24,2019-01-31,103700000.0,AP위성(주),수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
676,,제작,한국형발사체 3단 QM 및 1단 EM 조립치공구 제작,2018-10-30,2018-10-24,2019-04-30,2945000000.0,한국항공우주산업(주),수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
677,,물품구매,고주파 동압 센서 및 액세서리 구매,2018-10-29,2018-10-29,2018-12-20,48721200.0,(주)키슬러코리아,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
678,,일반용역,위성영상 빅데이터 기술 성능시험 및 가시화 용역,2018-10-25,2018-10-25,2019-04-30,55690000.0,(주)리얼타임테크,수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
679,,제작,한국형발사체 솔레노이드밸브 바디 제작,2018-11-02,2018-10-24,2019-08-31,132000000.0,한양이엔지(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
680,,제작,"75톤 엔진단열재(15G, 16G, 17A), 7톤 엔진단열재(6G, 5A, 4G 수정) 제작",2018-11-02,2018-10-24,2019-06-30,79000000.0,위즈텍,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
681,,기술용역,KSLV-II 동체 복합재료 물성시편 시험(5차),2018-10-24,2018-10-24,2018-12-28,60940000.0,(주)알에스피,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
682,,물품구매,소형연소시험장 PLC 제어 및 모니터링 시스템 구매,2018-10-25,2018-10-25,2018-11-09,26189900.0,로크웰오토메이션코리아,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
683,,기술용역,RO 기상탑재체 요구분석 용역,2018-10-25,2018-10-25,2018-12-17,24500000.0,주식회사 네비시스,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
684,,물품구매,신축기숙사 식당 주방 콘보텀 오븐 구매,2018-11-02,2018-10-25,2018-12-28,35000000.0,오에이치컴퍼니,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
685,,물품구매,한국형발사체 3단 QM 하니스 제작용 통신케이블 구매,2018-10-25,2018-10-25,2019-01-26,42376550.0,제이씨아이,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
686,,물품구매,2018 한반도 가시화물 생성용 해외위성영상 구매,2018-10-26,2018-10-26,2018-11-25,139480000.0,(주)지오셋아이,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
687,,제작,QTP용 발전기 추가제작,2018-10-26,2018-10-26,2018-12-07,20474580.0,(주)삼현,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
688,,물품구매,STAR-CCM+ 라이센스 구매,2018-10-30,2018-10-30,2018-11-30,37357000.0,지멘스인더스트리소프트웨어주식회사,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
689,,기술용역,다목적실용위성 전산시스템 최적화 전략계획 수립 용역,2018-10-26,2018-10-26,2018-12-17,22384000.0,(주)새암정보기술,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
690,,제작,EAV 무인기 통신장비 설계 및 제작,2018-10-25,2018-10-26,2019-04-25,305000000.0,(주)두타기술,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
691,,일반용역,무인이동체 원천기술개발사업 예비타당성조사 대응 연구,2018-10-29,2018-10-29,2019-03-29,46530000.0,인터젠컨설팅(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
692,,물품구매,전파간섭 측정도구 구매,2018-10-29,2018-10-29,2018-12-21,21000000.0,서일상사,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
693,,물품구매,프로펠러 6분력 측정센서 구매,2018-10-29,2018-10-29,2018-12-07,21494000.0,(주)두리시스템테크놀로지,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
694,,물품구매,한국형발사체 QM 탑재음향 센서 및 지상연소시험용 센서 구매,2018-11-07,2018-11-07,2019-02-28,92979700.0,케이티엠테크놀로지(주),수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
695,,제작,발사체 엄빌리칼 접속장치용 착화기 구매,2018-10-29,2018-10-29,2018-12-28,35773200.0,(주)한화,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
696,,물품구매,STK 라이센스 유지 보수,2018-11-01,2018-11-01,2018-11-30,32483000.0,주식회사케이씨이아이,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
697,,제작,AETF 초음속디퓨저 확대부 제작,2018-10-30,2018-10-30,2018-12-26,290000000.0,주식회사 비츠로넥스텍,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
698,,시설공사,고흥항공센터 연구실 LED조명기기 교체공사,2018-10-30,2018-10-30,2019-01-27,48034494.0,(주)다현전력,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
699,,물품구매,고주파 동압 센서(6125C10 등) 구매,2018-11-02,2018-11-02,2018-12-26,46789600.0,(주)키슬러코리아,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
700,,제작,비행체 탑재체 센서플랫폼 및 치구 제작,2018-10-29,2018-10-29,2018-11-09,20955000.0,(주)네오시스템,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
701,,일반용역,기상탑재체 위성 장착성 분석,2018-10-30,2018-10-30,2018-12-28,46651960.0,한국항공우주산업(주),수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
702,,기술용역,연소기 산화제 개폐밸브 세정 및 오염도 검사 용역,2018-10-29,2018-10-29,2019-03-29,28000000.0,(주)스페이스솔루션,수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
703,,물품구매,발사음향하중 측정시스템 계측채널 업그레이드용 물품 구매,2018-10-30,2018-10-30,2018-12-26,26730000.0,(주)컴앤에스,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
704,,물품구매,"소프트웨어(매스웍스 매트랩,유지보수) 라이선스 구입",2018-11-12,2018-11-12,2018-12-12,23502600.0,매스웍스코리아(유),수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
705,,일반용역,UTM 시스템 통합 시뮬레이션 시험장치 제작,2018-10-31,2018-10-31,2018-12-20,67980000.0,이지테크,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
706,,기술용역,2018년 발사체시스템통합시험설비 유지보수,2018-11-02,2018-11-02,2019-11-01,29600000.0,(주)리얼타임웨이브,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
707,,일반용역,위성연구본부 위성 성과물 홍보영상 제작 및 영상관,2018-10-31,2018-10-31,2018-12-31,33000000.0,톰패밀리,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
708,,제작,UAV 공기역학모델 기반방법 적용 무인항공기 추측항법 소프트웨어 개발,2018-11-06,2018-11-06,2019-02-25,35500000.0,조선대학교산학협력단,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
709,,물품구매,우주환경시험장비 전자파환경시험용 주파수확장 HW 구매,2018-11-02,2018-11-02,2018-12-28,24995300.0,키사이트테크놀로지스코리아,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
710,,물품구매,액체로켓엔진 시험용 동압센서 구매,2018-11-02,2018-11-02,2019-02-07,28481200.0,케이티엠테크놀로지(주),수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
711,,일반용역,추진기관 엔진 지상 고공 연소시험설비 테스트스탠드/영상/후류 유지 및 운용,2018-11-01,2018-11-01,2019-03-31,193000000.0,한양이엔지(주),수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
712,,물품구매,야외시험 지원용 치공구류 구매,2018-11-07,2018-11-07,2018-12-06,22247000.0,미래코리아비지니스,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
713,,물품구매,추진기관시스템 시험설비 제어시스템 성능개선 및 스페어 파트 구매,2018-11-05,2018-11-05,2019-01-31,93995000.0,로크웰오토메이션코리아,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
714,,물품구매,시험용 RF 연결부품(커넥터) 구매,2018-11-06,2018-11-06,2018-12-20,32868000.0,(주)창우통상,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
715,,일반용역,우주용 전자부품 중이온 시험,2018-11-05,2018-11-05,2018-12-20,20000000.0,한국과학기술연구원,수의계약,26조1항6호바목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
716,,시설공사,우주센터 및 제주추적소 보안시스템(통합관제시스템) 환경개선공사,2018-10-18,2018-10-23,2020-04-22,115723000.0,광주지방조달청,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
717,,물품구매,우주센터 및 제주추적소 보안시스템(통합관제시스템) 업그레이드 구매설치,2018-10-15,2018-10-15,2020-04-15,1777572860.0,대전조달청,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
718,,일반용역,한국형발사체 비행안전분석시스템 기능개선 및 유지보수 개발용역,2018-11-06,2018-11-06,2018-12-28,23020367.0,앰비언트,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
719,,물품구매,2018년도 하반기 신규직원 사무용가구 구매,2018-11-06,2018-11-06,2018-12-01,36819000.0,대전조달청,다수공급자계약,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
720,,물품구매,위성시험동 진동환경시험 모니터링용 IP 카메라 구매,2018-11-06,2018-11-06,2018-12-31,25221200.0,대전조달청,다수공급자계약,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
721,,물품구매,"로터 구성품 구조, 피로시험 하중 측정용 로드셀 구매 및 교체",2018-11-05,2018-11-05,2019-02-28,29876000.0,(주)이지엠앤티,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
722,,물품구매,ADS-B 지상 수신기(Ground Receiver) 구매,2018-11-05,2018-11-05,2018-12-24,28590000.0,다솔앤컴퍼니,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
723,,물품구매,MSDN(Microsoft VisualStudio Enterperise Subscrip tion 개발도구 구매,2018-11-05,2018-11-05,2018-11-23,28900000.0,(주)위포,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
724,,일반용역,시험발사체 발사 프레스센터 구축 운영용역,2018-11-08,2018-11-08,2018-12-31,35535200.0,마루기획,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
725,,물품구매,TPTF 고압공기 압축기(BHH-175S) 소모품 교체,2018-11-06,2018-11-06,2018-12-05,47530000.0,범한산업(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
726,,물품구매,마이크로파 탐측기 스캔 구동부 확인용 모터 구매,2018-11-08,2018-11-08,2019-01-30,39700000.0,지구종합상사,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
727,,제작,한국형발사체(KSLV-II) 임무제어시스템 QM/FM 제작,2018-11-07,2018-11-07,2020-10-30,4038500000.0,(주)한화 대전사업장,수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
728,,물품구매,아리랑영상 시계열분석 및 차기위성 연구용 PlanetScope 위성영상 구매,2018-11-08,2018-11-08,2018-12-15,39600000.0,(주)지오포커스,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
729,,물품구매,발사체 내부 및 PSTC 내부 음향 특성 평가용 소음계측기 구매,2018-11-08,2018-11-08,2018-12-31,20460000.0,스펙트리스코리아(주)브뤼엘앤드케아지점,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
730,,일반용역,터보펌프 실매질 시험설비 영상계측시스템 유지보수,2018-11-07,2018-11-07,2018-12-20,28800000.0,(주)아이비에스코리아,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
731,,제작,한국형발사체 열제어/화재안전계 2단 가스공급 배관 및 매니폴드 FM1 개발,2018-11-07,2018-11-07,2019-03-31,225000000.0,한양이엔지(주),수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
732,,제작,3단엔진 시험설비 시험용 고온가스발생기 헤드 및 내산화 배관 제작,2018-11-08,2018-11-08,2018-12-28,29500000.0,주식회사 비츠로넥스텍,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
733,,일반용역,40kg급 무인기 착륙장치 5종의 시험평가,2018-11-07,2018-11-09,2018-12-14,21478170.0,(주)비엠웍스,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
734,,제작,시험용 달 궤도선 위성시험용 BOB 및 케이블 제작,2018-11-09,2018-11-09,2019-02-28,66300000.0,(주)아이엠티,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
735,,제작,다목적실용위성6호 IBMU Signal 및 Power Integrity 성능개선 검증보드 설계/제작,2018-11-09,2018-11-09,2018-12-26,28996000.0,이엘테크,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
736,,물품구매,위성운영실 보조처리 스토리지 구매/설치,2018-11-12,2018-11-12,2018-12-11,51000000.0,(주)라온정보,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
737,,물품구매,시험용 달궤도선 비행모델 온도측정용 온도센서 구매,2018-11-12,2018-11-12,2019-02-11,65274000.0,모루기술 주식회사,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
738,,물품구매,라디오미터 부품 성능 검증용 스펙트로메터 구매,2018-11-12,2018-11-12,2019-04-28,42350000.0,진오테크놀로지,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
739,,제작,다목적실용위성 7호 정밀모사 모델 제작,2018-11-09,2018-11-09,2018-12-31,61750000.0,물샘열둘,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
740,,일반용역,초음속 연소기 모델 전산 유체 해석,2018-11-09,2018-11-09,2019-06-28,29000000.0,세종대학교산학협력단,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
741,,물품구매,정밀항법용 소형 RTK 관성항법장치 구매,2018-11-12,2018-11-12,2018-12-31,42856000.0,와이즈시스템주식회사,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
742,,제작,한국형발사체 KRE-007/075용 가스발생기점화기 몸체 제작,2018-11-14,2018-11-14,2018-12-31,167680000.0,(주)네오스펙,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
743,,제작,국산화 안전장전장치 환경시험용 시제품 제작 및 시험,2018-11-08,2018-11-08,2018-12-28,127000000.0,퍼스텍(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
744,,물품구매,레이다 신호변환기 및 라디오미터 신호처리부 모사 보드 구매,2018-11-12,2018-11-12,2018-12-03,32000000.0,(주)와이비세미콘,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
745,,기술용역,발사체 3축 비행운동 시뮬레이터 및 관성항법시스템 캘리브레이션 장비 유지보수,2018-11-24,2018-11-24,2019-11-23,38000000.0,아나웰코포레이션,수의계약,26조 1항 2호 사목,,경영공시+9_구매계약현황(2018년).xlsx,결과창
746,,제작,차세대중형위성 1호 기계지상지원장비 추가 개발,2018-12-18,2018-12-18,2019-05-31,96000000.0,(사)캠틱종합기술원,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
747,,물품구매,설계 소프트웨어(AutoCAD) 라이선스 구매,2018-11-08,2018-11-08,2018-12-08,71775000.0,대전조달청,다수공급자계약,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
748,,제작,한국형발사체 탑재카메라시스템 및 COMM 보드 제작,2018-11-12,2018-11-12,2018-12-14,93000000.0,기가알에프(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
749,,제작,위성정보 공유 활용지원 시스템 개발,2018-11-12,2018-11-12,2019-11-30,475000000.0,가이아쓰리디주식회사,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
750,,일반용역,덕티드 팬 저항력 형상해석용 기술용역,2018-11-13,2018-11-13,2019-12-12,76900000.0,지멘스인더스트리소프트웨어주식회사,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
751,,물품구매,웨노추적소 네트워크(위성통신 VSAT) 구매,2018-11-21,2018-11-21,2019-01-15,25580000.0,아이티씨(주),제한경쟁,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
752,,물품구매,한국형발사체 엔진 진동 및 음향 데이터 분석 SW 라이선스 구매,2018-11-09,2018-11-09,2018-12-07,67000000.0,지멘스인더스트리소프트웨어주식회사,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
753,,기술용역,2018년 위성관리시스템 정보보호관리체계 구축 컨설팅 용역,2018-11-12,2018-11-12,2018-12-28,75075000.0,(주)이글루시큐리티,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
754,,제작,한국형발사체 엔진 지상고공연소시험설비 보강 설치,2018-11-14,2018-11-14,2018-12-28,44650000.0,한양이엔지(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
755,,물품구매,위성정보 공유 활용지원 시스템 개발,2018-11-14,2018-11-14,2018-12-31,475000000.0,기장유통,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
756,,제작,한국형발사체 1단추진제탱크 납품용 컨테이너 제작,2018-11-14,2018-11-14,2019-03-13,185900000.0,(주)선영시스텍,수의계약,27조1항2호     ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
757,,물품구매,고정밀 3차원 정렬용 굴절율 측정장비 구매,2018-11-15,2018-11-15,2018-12-31,37400000.0,(주)신코,수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
758,,제작,팔라우 해외추적소 발전기 제작,2018-11-15,2018-11-15,2019-09-14,398135000.0,(주)코스탈파워,지명경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
759,,제작,팔라우 해외추적소 UPS 제작,2018-11-15,2018-11-15,2019-09-14,466290000.0,이온,지명경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
760,,제작,팔라우 해외추적소 수배전반 제작,2018-11-15,2018-11-15,2019-09-14,436100000.0,(주)서전기전,지명경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
761,,제작,한국형발사체 3단부 QM 시스템 하니스 제작,2018-11-14,2018-11-14,2019-03-29,270000000.0,(주)카프마이크로,수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
762,,시설공사,본관4층 전산장비실 확장 및 환경개선공사(건축),2018-11-19,2018-11-19,2018-12-17,86530760.0,(주)우림,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
763,,제작,복합재 추진제탱크 축소형 시제 제작 및 극저온 시험,2018-11-16,2018-11-14,2019-06-30,179846850.0,(주)한국카본,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
764,,시설공사,본관4층 전산장비실 확장 및 환경개선 전기공사,2018-11-19,2018-11-19,2018-12-17,34244915.0,승진전력합자회사,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
765,,제작,한국형발사체 1단과 추진기관시스템시험설비 간 기계적체결장치 제작,2018-11-20,2018-11-15,2019-12-28,363000000.0,이엠코리아(주)창원지점,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
766,,기술용역,한국형발사체 구조시험 계장 작업,2018-11-15,2018-11-15,2019-05-30,31095000.0,태일A&P,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
767,,일반용역,천리안 13미터 주반사판 도장 및 9미터 안테나 세척,2018-11-16,2018-11-16,2019-03-15,22000000.0,(주)컨텍,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
768,,물품구매,나로우주센터 한국형발사체용 제2발사대 표준시각 신호발생장치 확장 구축,2018-11-16,2018-11-16,2018-12-21,127000000.0,지티에스솔루션즈(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
769,,물품구매,"소프트웨어(WEBA, 유지보수) 구매",2018-11-16,2018-11-16,2018-12-05,22550000.0,에스앤에스이앤지(주),수의계약,26조1항2호자목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
770,,제작,냉각터빈 블레이드 캐스케이드 시험리그 보완 설계 및 제작,2018-11-16,2018-11-16,2018-12-14,21735000.0,텍-아이시스템엔지니어링,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
771,,물품구매,한국형발사체 액체로켓 엔진 QM 구성을 위한 센서 구매,2018-11-16,2018-11-16,2019-02-07,45468500.0,케이티엠테크놀로지(주),수의계약,"26조1항2호자목 ,26조1항2호사목 ",,경영공시+9_구매계약현황(2018년).xlsx,결과창
772,,제작,시험용 달 궤도선 주탑재체 열제어 쉬라우드 제작,2018-11-19,2018-11-19,2019-01-31,38890000.0,한양이엔지(주),수의계약,26조1항2호사목 ,,경영공시+9_구매계약현황(2018년).xlsx,결과창
773,,물품구매,피로시험 하중 부가용 전동기 및 부수자재 교체,2018-11-16,2018-11-16,2018-12-21,22906210.0,보문 주식회사,제한경쟁,,,경영공시+9_구매계약현황(2018년).xlsx,결과창
